 ,Area,Mean,Min,Max,X,Y
1,0,5208,5208,5208,613.000,1700.167
2,0,6545,6545,6545,612.667,1659.500
5,0,5741,5741,5741,2073.250,1702.000
6,0,6973,6973,6973,2069.250,1651.250
7,0,6207,6207,6207,2687.500,1705.500
8,0,5877,5877,5877,2686.500,1655.000
9,0,7485,7485,7485,4131.500,1554.375
10,0,7772,7772,7772,4134.625,1595.750
11,0,7242,7242,7242,3050.500,2626.000
12,0,6045,6045,6045,3049.500,2585.667
13,0,7051,7051,7051,2892.667,2585.333
14,0,5024,5024,5024,2893.833,2630.500
15,0,6334,6334,6334,4721.000,2588.000
16,0,7767,7767,7767,4718.750,2633.500
17,0,6969,6969,6969,3866.333,557.667
18,0,9173,9173,9173,3871.667,516.833
19,0,7323,7323,7323,3943.667,513.167
20,0,6348,6348,6348,3943.000,560.667
21,0,6740,6740,6740,4739.167,1075.500
22,0,6672,6672,6672,4738.500,1030.167
23,0,5572,5572,5572,4539.667,662.000
24,0,7564,7564,7564,4537.167,620.167
25,0,6791,6791,6791,1860.375,562.750
26,0,5560,5560,5560,1859.875,521.875
27,0,5350,5350,5350,2663.500,65.500
28,0,12314,12314,12314,2661.750,-0.500
29,0,5565,5565,5565,3929.625,2109.500
30,0,5414,5414,5414,3927.375,2067.250
31,0,5925,5925,5925,350.875,3111.250
32,0,7661,7661,7661,355.000,3152.250